Timestamp,Device,Region,Language,Index,Tag,Expected (English),Expected (Local),Actual Detected,Verdict,Error Message,ROI Image,Remark by Adib,Verify by Adib
2026-04-05 10:39:48,ION1,ENGLISH,English,14,FSI_ATT_MODE,ENTERING ATT MODE,ENTERING ATT MODE,ENTERING AT... (Conf: 71.0%),WARN,Mismatch (Conf: 71.0%): Text misspelled or completely changed.,,"truncated, Fail",TRUE
2026-04-05 10:40:35,ION30,APAC,Traditional Chinese,15,FSI_ATT_MODE_EXIT,EXIT ATT MOD,離開ATT模式,輪開 ATT模式 (Conf: 80.0%),WARN,Mismatch (Conf: 80.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 10:41:44,ION1,ENGLISH,English,16,FSI_BACKLIGHT_AUTO_ON,BACKLIGHT AUTO ON,BACKLIGHT AUTO ON,BACKLIGHT A... (Conf: 71.0%),WARN,Mismatch (Conf: 71.0%): Text misspelled or completely changed.,,"truncated, Fail",TRUE
2026-04-05 10:41:52,ION30,APAC,Traditional Chinese,17,FSI_BACKLIGHT_NOT_ALLOWED,BACKLIGHT NOT ALLOWED,背光無效,背光無效 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:43:00,ION1,ENGLISH,English,19,FSI_BACKLIGHT_TURN_OFF,BACKLIGHT TURN OFF,BACKLIGHT TURN OFF,NO_TEXT (Conf: 16.0%),FAIL,Mismatch (Conf: 16.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 10:43:08,ION30,APAC,Traditional Chinese,20,FSI_BRIGHTNESS_NOT_ALLOWED,BRIGHTNESS NOT ALLOWED,亮度無效,亮度無效 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:43:42,ION1,ENGLISH,English,23,FSI_CALLING_XXX,CALLING,CALLING,CALLING (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:43:49,ION30,APAC,Traditional Chinese,24,FSI_CALL_ALERT_FAILED,ALERT FAILED,呼叫提示失敗,呼叫提示失敗 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:44:22,ION1,ENGLISH,English,25,FSI_CALL_ALERT_SUCCESSFUL,ALERT SENT,ALERT SENT,ALERT SENT (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:44:28,ION30,APAC,Traditional Chinese,26,FSI_CALL_ALERT_X_STR,CALL ALERT,呼叫告警,呼叫告警 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:45:01,ION1,ENGLISH,English,27,FSI_CALL_ENDED,CALL ENDED,CALL ENDED,CALL ENDED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:45:09,ION30,APAC,Traditional Chinese,28,FSI_CALL_ENDED_DUAL_LINE,CALL ENDED,呼叫結束,呼叫結束 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:45:42,ION1,ENGLISH,English,29,FSI_CALL_FAILED,CALL FAILED,CALL FAILED,CALL FAILED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:45:48,ION30,APAC,Traditional Chinese,30,FSI_CHANNEL_BUSY,CHANNEL BUSY,頻道繁忙,頻道繁忙 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:46:28,ION1,ENGLISH,English,32,FSI_COMPANDING_CONFIRM_OFF,CMPDNG OFF,CMPDNG OFF,CMPDNG OFF (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:46:57,ION30,APAC,Traditional Chinese,33,FSI_COMPANDING_CONFIRM_ON,CMPDNG ON,擴展開啟,擴展開啟 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:47:30,ION1,ENGLISH,English,34,FSI_COMPANDING_TITLE,COMPANDING,COMPANDING,COMPANDING (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:48:15,ION30,APAC,Traditional Chinese,35,FSI_CONTACT_DELETED,CONTACT DELETED,聯絡人刪除,離 進入刪除 (Conf: 36.4%),FAIL,Mismatch (Conf: 36.4%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 10:48:49,ION1,ENGLISH,English,36,FSI_CONTACT_SAVED,CNTCT SAVE,CNTCT SAVE,CNTCT SAVE (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:48:57,ION30,APAC,Traditional Chinese,37,FSI_CURRENT,CURRENT,目前使用,目前使用 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:49:31,ION1,ENGLISH,English,38,FSI_DELETE_SUCCESS,ENTRY DELETED,ENTRY DELETED,ENTRY DELETED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:49:39,ION30,APAC,Traditional Chinese,41,FSI_EDIT_NAME,NAME,名稱,名稱 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:50:12,ION1,ENGLISH,English,42,FSI_BT_EDIT_NAME,EDIT NAME,EDIT NAME,EDIT NAME (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:50:56,ION30,ENGLISH,English,43,FSI_EDIT_NUMBER,NUMBER,NUMBER,1 DEFE SHOP (Conf: 11.8%),FAIL,Mismatch (Conf: 11.8%): Text misspelled or completely changed.,,Check back original,TRUE
2026-04-05 10:51:37,ION1,ENGLISH,English,44,FSI_EF_FAIL,FAIL,FAIL,FAIL (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:51:45,ION30,APAC,Traditional Chinese,45,FSI_EMER_ACK_RCVD,ACK RECEIVED,收到確認,收到確認 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:52:19,ION1,ENGLISH,English,46,FSI_EMER_ACTIVE,EMERGENCY,EMERGENCY,EMERGENCY (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:52:26,ION30,APAC,Traditional Chinese,47,FSI_EMER_NO_ACK,NO ACK,未確認,未確認 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:53:00,ION1,ENGLISH,English,48,FSI_EMER_RX_ALARM,EA RECEIVED,EA RECEIVED,EA RECEIVED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:53:43,ION30,APAC,Traditional Chinese,49,FSI_EMER_RX_NOTICE,ALARM RCVD ON,告警接收開,告警接收 (Conf: 88.9%),WARN,Mismatch (Conf: 88.9%): Missing part of the expected text.,,Fail to detect,TRUE
2026-04-05 10:54:17,ION1,ENGLISH,English,50,FSI_EMER_SENDING_ALARM,TX ALARM,TX ALARM,TX ALARM (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:55:00,ION30,APAC,Traditional Chinese,51,FSI_EMPTY_STRING,,,"Unsupported media type found. Ignoring non-image media. The image is too dark and unclear, making it challenging to extract text with precision. The screen contents are not fully legible due to lighting and resolution constraints. Could you provide a clearer image with better lighting or contrast? This will help ensure accurate extraction. (Conf: 0.0%)",FAIL,"Mismatch (Conf: 0.0%): Extra text detected: 'Unsupported media type found. Ignoring non-image media. The image is too dark and unclear, making it challenging to extract text with precision. The screen contents are not fully legible due to lighting and resolution constraints. Could you provide a clearer image with better lighting or contrast? This will help ensure accurate extraction.'",,Remove this from batch file,TRUE
2026-04-05 10:55:34,ION1,ENGLISH,English,52,FSI_ENTERED,ENTERED,ENTERED,ENTERED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:55:40,ION30,APAC,Traditional Chinese,53,FSI_ENTER_NAME,NAME,名稱,名稱 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:56:13,ION1,ENGLISH,English,54,FSI_ENTER_NUMBER,NUMBER,NUMBER,NUMBER (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:56:55,ION30,APAC,Traditional Chinese,55,FSI_ENTRY_DELETED,ENTRY DELETED,條目 已刪除,儲目己刪除 (Conf: 54.5%),FAIL,Mismatch (Conf: 54.5%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 10:57:29,ION1,ENGLISH,English,56,FSI_ENTRY_SAVED,ENTRY SAVED,ENTRY SAVED,ENTRY SAVED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:58:11,ION30,APAC,Traditional Chinese,57,FSI_ERR_SEPARATOR,/,/,"Unsupported media type found. Ignoring non-image media. The image provided has extremely low clarity. Unfortunately, the text on the screen is not legible due to the poor resolution and lighting conditions. If possible, please provide a clearer image so I can assist you with text extraction accurately. (Conf: 0.0%)",FAIL,Mismatch (Conf: 0.0%): Text misspelled or completely changed.,,Remove this from batch file,TRUE
2026-04-05 10:58:52,ION1,ENGLISH,English,58,FSI_ESCALERT,ESCALERT,ESCALERT,ESCALERT (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:59:00,ION30,APAC,Traditional Chinese,59,FSI_ESCALERT_OFF,ESCALERT OFF,音量漸響關閉,音量漸響關閉 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:59:33,ION1,ENGLISH,English,60,FSI_ESCALERT_ON,ESCALERT ON,ESCALERT ON,ESCALERT ON (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:59:39,ION30,ENGLISH,English,61,FSI_FAILED,FAILED,FAILED,FAILED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:00:12,ION1,ENGLISH,English,63,FSI_FRONT_ACCESSORY,IMPRES ACCY,IMPRES ACCY,IMPRES ACCY (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:00:18,ION30,APAC,Traditional Chinese,64,FSI_FRONT_INVALID_ACCESSORY,INVALID ACCY,前端配件無效,前端配件無效 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:01:28,ION1,ENGLISH,English,65,FSI_GPS_WAITING,RETRV GNSS,RETRV GNSS,RETRY GNSS (Conf: 90.0%),WARN,Mismatch (Conf: 90.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:01:36,ION30,APAC,Traditional Chinese,66,FSI_GPS_WAITING_FAILED,GNSS FAILED,GNSS 失敗,GNSS 失敗 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:02:49,ION1,ENGLISH,English,68,FSI_HORN_LIGHTS,HORNS AND LIGHTS,HORNS AND LIGHTS,HORNS AND LI... (Conf: 77.4%),WARN,Mismatch (Conf: 77.4%): Text misspelled or completely changed.,,"truncated, Fail",TRUE
2026-04-05 11:03:34,ION30,APAC,Traditional Chinese,69,FSI_HORN_LIGHTS_OFF,H&L OFF,H&L 關閉,H&L 關開 (Conf: 83.3%),WARN,Mismatch (Conf: 83.3%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:04:44,ION1,ENGLISH,English,70,FSI_HORN_LIGHTS_ON,H&L ON,H&L ON,HEL ON (Conf: 83.3%),WARN,Mismatch (Conf: 83.3%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:04:52,ION30,APAC,Traditional Chinese,72,FSI_IMPRES_BATTERY,IMPRES BATT,IMPRES 電池,IMPRES 電池 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:05:26,ION1,ENGLISH,English,73,FSI_INBOX_CLEAR,INBOX CLEARED,INBOX CLEARED,INBOX CLEARED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:06:09,ION30,APAC,Traditional Chinese,74,FSI_INBOX_FULL,INBOX FULL,收件夾滿,附件交璜 (Conf: 25.0%),FAIL,Mismatch (Conf: 25.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:06:42,ION1,ENGLISH,English,75,FSI_INVALID_ACCESSORY,INVALID ACCY,INVALID ACCY,INVALID ACCY (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:06:49,ION30,APAC,Traditional Chinese,76,FSI_INVALID_ENTRY,INVALID ENTRY,輸入無效,輸入無效 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:07:23,ION1,ENGLISH,English,77,FSI_INVALID_STR,INVALID #,INVALID #,INVALID # (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:08:07,ION30,APAC,Traditional Chinese,78,FSI_KEYPAD_LOCK,KNOB LOCKED,旋鈕鎖定,施組設定 (Conf: 25.0%),FAIL,Mismatch (Conf: 25.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:08:40,ION1,ENGLISH,English,79,FSI_INVALID_CHANNEL,INVALID CH,INVALID CH,INVALID CH (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:08:54,ION30,APAC,Traditional Chinese,80,FSI_KEYPAD_TONES,KEYPAD TONE,按鍵音,按鍵音 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:09:27,ION1,ENGLISH,English,81,FSI_KEYPAD_TONES_OFF,KEYTONE OFF,KEYTONE OFF,KEYTONE OFF (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:09:43,ION30,APAC,Traditional Chinese,82,FSI_KEYPAD_TONES_ON,KEYTONE ON,按鍵音開啟,按鍵音開啟 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:10:54,ION1,ENGLISH,English,83,FSI_KEYPAD_UNLOCK,KNOB UNLOCKD,KNOB UNLOCKD,KNO8UNLOCKD (Conf: 87.0%),WARN,Mismatch (Conf: 87.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:11:39,ION30,APAC,Traditional Chinese,84,FSI_KEYPAD_UNLOCK_HELP,MENU THEN * TO UNLOCK,按Menu*解鎖,Menu (Conf: 66.7%),FAIL,Mismatch (Conf: 66.7%): Missing part of the expected text.,,Fail to detect,TRUE
2026-04-05 11:12:28,ION1,ENGLISH,English,86,FSI_LED_TEST,LED Test Mode,LED Test Mode,LED Test Mode (Conf: 100.0%),PASS,,,Double check between D and T has space or not,TRUE
2026-04-05 11:12:36,ION30,APAC,Traditional Chinese,87,FSI_LIST_EMPTY,LIST EMPTY,列表空,列表空 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:13:09,ION1,ENGLISH,English,88,FSI_LIST_FULL,LIST FULL,LIST FULL,LIST FULL (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:13:16,ION30,APAC,Traditional Chinese,89,FSI_LIST_SAVED,LIST SAVED,列表儲存,列表儲存 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:13:49,ION1,ENGLISH,English,92,FSI_LOW_BATTERY,LOW BATTERY,LOW BATTERY,LOW BATTERY (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:14:33,ION30,APAC,Traditional Chinese,94,FSI_MSG_DELETED,MESSAGE DELETED,刪除信息,閒 於信息 (Conf: 44.4%),FAIL,Mismatch (Conf: 44.4%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:15:43,ION1,ENGLISH,English,95,FSI_NO,NO,NO,10 (Conf: 0.0%),FAIL,Mismatch (Conf: 0.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:16:28,ION30,APAC,Traditional Chinese,96,FSI_NON_IMPRES_BATTERY,NO IMPR BATT,非 IMPR 電池,NO_TEXT (Conf: 0.0%),FAIL,Mismatch (Conf: 0.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:17:01,ION1,ENGLISH,English,97,FSI_INVALID_IMPRES_BATTERY,RECOND BATT,RECOND BATT,RECOND BATT (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:17:07,ION30,APAC,Traditional Chinese,98,FSI_NOTICE_SELECTED,SELECTED,已選擇,已選擇 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:17:41,ION1,ENGLISH,English,99,FSI_NOTICE_SET_AS_DEFAULT,SET AS DEFAULT,SET AS DEFAULT,SET AS DEFAULT (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:18:25,ION30,APAC,Traditional Chinese,100,FSI_NOTICE_SUSPENSION,...,...,"Unsupported media type found. Ignoring non-image media. The image is dark, and the screen text is unclear or indistinct. Unfortunately, I can't extract any visible text or icons from this image. If you have a clearer image or additional context, feel free to share it! (Conf: 0.0%)",FAIL,Mismatch (Conf: 0.0%): Text misspelled or completely changed.,,Remove this from batch file,TRUE
2026-04-05 11:18:58,ION1,ENGLISH,English,101,FSI_NO_EMER,NO EMERGENCY,NO EMERGENCY,NO EMERGENCY (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:19:40,ION30,APAC,Traditional Chinese,102,FSI_NUIS_DEL,NSNCE DEL,滋擾刪除,液壓剛除 (Conf: 25.0%),FAIL,Mismatch (Conf: 25.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:20:35,ION1,ENGLISH,English,103,FSI_NUIS_DEL_FAIL,NSNCE DEL FAIL,NSNCE DEL FAIL,NSNCE DEL FAIL (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:20:42,ION30,APAC,Traditional Chinese,104,FSI_OK_TO_SEND,PRESS OK TO SEND,按OK發送,按OK發送 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:21:52,ION1,ENGLISH,English,105,FSI_OPTION_BOARD_OFF,OPTION BOARD OFF,OPTION BOARD OFF,ICON BOARD OFF (Conf: 86.7%),WARN,Mismatch (Conf: 86.7%): Text misspelled or completely changed.,,"truncated, Fail",TRUE
2026-04-05 11:22:37,ION30,APAC,Traditional Chinese,106,FSI_OPTION_BOARD_ON,OPTION BOARD ON,選配功能開,超配功能開 (Conf: 80.0%),WARN,Mismatch (Conf: 80.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:23:10,ION1,ENGLISH,English,107,FSI_PA,PA,PA,PA (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:23:16,ION30,APAC,Traditional Chinese,108,FSI_PADDED_ERROR,ERROR,錯誤,錯誤 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:23:49,ION1,ENGLISH,English,109,FSI_PAGE_RCVD,CALL ALERT,CALL ALERT,CALL ALERT (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:24:34,ION30,APAC,Traditional Chinese,110,FSI_PARTY_NOT_AVAILABLE,PARTY NA,對方 未應答,對方未應答 (Conf: 90.9%),WARN,Mismatch (Conf: 90.9%): Text misspelled or completely changed.,,Pass,TRUE
2026-04-05 11:25:08,ION1,ENGLISH,English,111,FSI_INT_PA_OFF,INT PA OFF,INT PA OFF,INT PA OFF (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:25:23,ION30,APAC,Traditional Chinese,112,FSI_INT_PA_ON,INT PA ON,內部廣播開啟,內部廣播開啟 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:25:56,ION1,ENGLISH,English,113,FSI_EXT_PA_OFF,EXT PA OFF,EXT PA OFF,EXT PA OFF (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:26:03,ION30,APAC,Traditional Chinese,114,FSI_EXT_PA_ON,EXT PA ON,外部廣播開啟,外部廣播開啟 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:26:37,ION1,ENGLISH,English,115,FSI_PERMANENT_MONITOR_OFF,PERM MON OFF,PERM MON OFF,PERM MON OFF (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:27:21,ION30,APAC,Traditional Chinese,116,FSI_PERMANENT_MONITOR_ON,PERM MON ON,經常性監控開,經常性監控問 (Conf: 83.3%),WARN,Mismatch (Conf: 83.3%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:27:54,ION1,ENGLISH,English,117,FSI_PERMIT_TONE,TALK PERMIT,TALK PERMIT,TALK PERMIT (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:28:01,ION30,APAC,Traditional Chinese,118,FSI_PERMIT_TONE_OFF,TP TONE OFF,通話許可音關,通話許可音關 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:29:16,ION1,ENGLISH,English,119,FSI_PERMIT_TONE_ON,TP TONE ON,TP TONE ON,VIP TONE ON (Conf: 85.7%),WARN,Mismatch (Conf: 85.7%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:29:23,ION30,APAC,Traditional Chinese,120,FSI_POWER_OFF,PWR DOWN,關機,關機 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:29:58,ION1,ENGLISH,English,121,FSI_PRESS_PTT,PRESS PTT,PRESS PTT,PRESS PTT (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:30:05,ION30,APAC,Traditional Chinese,122,FSI_PRIVATE_CALL,PRIVATE CALL,個別呼叫,個別呼叫 (Conf: 100.0%),PASS,,,got 1 line in the box,TRUE
2026-04-05 11:30:38,ION1,ENGLISH,English,123,FSI_PRIVATE_RINGER,PRIVATE CALL,PRIVATE CALL,PRIVATE CALL (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:30:45,ION30,APAC,Traditional Chinese,124,FSI_PRIVATE_RINGER_OFF,PRV RING OFF,私人鈴聲關閉,私人鈴聲關閉 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:31:19,ION1,ENGLISH,English,125,FSI_PRIVATE_RINGER_ON,PRV RING ON,PRV RING ON,PRV RING ON (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:31:26,ION30,APAC,Traditional Chinese,126,FSI_PROGRAM_MODE,PRGM MODE,燒錄模式,燒錄模式 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:32:00,ION1,ENGLISH,English,127,FSI_PWR_SELECT_HIGH,TX POWER HIGH,TX POWER HIGH,TX POWER HIGH (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:32:16,ION30,APAC,Traditional Chinese,128,FSI_PWR_SELECT_LOW,TX POWER LOW,低發射功率,低發射功率 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:32:53,ION1,ENGLISH,English,129,FSI_PWR_SELECT_TITLE,POWER,POWER,POWER (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:33:01,ION30,APAC,Traditional Chinese,130,FSI_RADIO_CHECK_FAILED,TARGET NA,話機不可用,話機不可用 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:33:34,ION1,ENGLISH,English,131,FSI_RADIO_CHECK_SUCCESSFUL,TARGET AVAIL,TARGET AVAIL,TARGET AVAIL (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:33:40,ION30,APAC,Traditional Chinese,132,FSI_RADIO_CHECK_X,RADIO CHECK,話機檢查,話機檢查 (Conf: 100.0%),PASS,,,Double check wit actual,TRUE
2026-04-05 11:34:13,ION1,ENGLISH,English,133,FSI_RADIO_DISABLE,RADIO DISABLE,RADIO DISABLE,RADIO DISABLE (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:34:59,ION30,APAC,Traditional Chinese,134,FSI_RADIO_DISABLE_FAILED,DISABLE FAILED,話機禁止失效,該機禁止改 (Conf: 54.5%),FAIL,Mismatch (Conf: 54.5%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:35:39,ION1,ENGLISH,English,135,FSI_RADIO_DISABLE_SUCCESSFUL,RAD DISABLED,RAD DISABLED,RAD DISABLED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:36:24,ION30,APAC,Traditional Chinese,136,FSI_RADIO_DISABLE_X,RADIO DISABLE,話機禁止,請攜禁止 (Conf: 50.0%),FAIL,Mismatch (Conf: 50.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:36:56,ION1,ENGLISH,English,137,FSI_RADIO_ENABLE_FAILED,ENABLE FAILED,ENABLE FAILED,ENABLE FAILED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:37:09,ION30,APAC,Traditional Chinese,138,FSI_RADIO_ENABLE_SUCCESSFUL,RAD ENABLED,話機啟程 成功,話機啟程 成功 (Conf: 100.0%),PASS,,,Double check wit actual,TRUE
2026-04-05 11:37:42,ION1,ENGLISH,English,139,FSI_RADIO_ENABLE_X,RADIO ENABLE,RADIO ENABLE,RADIO ENABLE (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:38:27,ION30,APAC,Traditional Chinese,140,FSI_RADIO_VOLUME,RADIO VOLUME,話機音量,話 音量 (Conf: 75.0%),WARN,Mismatch (Conf: 75.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:39:00,ION1,ENGLISH,English,141,FSI_REAR_ACCESSORY,IMPRES ACCY,IMPRES ACCY,IMPRES ACCY (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:39:13,ION30,APAC,Traditional Chinese,142,FSI_REAR_INVALID_ACCESSORY,INVALID ACCY,後端配件無效,後端配件無效 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:40:21,ION1,ENGLISH,English,144,FSI_REMORE_MONITOR_FAILED,REM MON FAIL,REM MON FAIL,BER MON FAIL (Conf: 83.3%),WARN,Mismatch (Conf: 83.3%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:41:06,ION30,APAC,Traditional Chinese,145,FSI_REMOTE_MONITOR_ENDED,REM MON END,遠端監控終止,遠端監在線上 (Conf: 50.0%),FAIL,Mismatch (Conf: 50.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 11:41:39,ION1,ENGLISH,English,146,FSI_REMOTE_MONITOR_SENDING,REM. MONITOR,REM. MONITOR,REM. MONITOR (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:41:47,ION30,APAC,Traditional Chinese,147,FSI_REMOTE_MONITOR_X,REMOTE MON.,遠端監控,遠端監控 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 11:42:19,ION1,ENGLISH,English,148,FSI_REMOTE_MONITOR_STR,REM. MONITOR,REM. MONITOR,REM. MONITOR (Conf: 100.0%),PASS,,,,TRUE
